"prev_bot","user_utterance","system_acknowledgement"
"All righty! ainsley, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","let's talk about our favorite animals","Sure!"
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","watch youtube","I see, you like to watch youtube."
"Alright then.   All righty! maddie, what are your plans for the weekend?","to be lazy and watch tv","I see, to be lazy and watch tv."
"Cool! I'd love to hear more about it!","i like to trying to twenty four hour challenges outside but i have joke to pollen","I see, you have joke to pollen."
"Ummmm, OK, let's talk about something else.   All righty! maddie, what are your plans for the weekend?","to jump on the trampoline and be lazy","Oh, you like to jump on the trampoline and be lazy."
"We have been talking about music for a while,   All righty! maddie, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","play with slime","Oh ok, you like to play with slime."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","right now i'm going outside to play with your dog","Oh, right now you are going outside to play with my dog."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","listen to heavy metal music","Ok, you like to listen to heavy metal music."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","i like to run around the house","I see, you like to run around the house."
"Hi, ethan.  How are you doing today?","good how are you","I do not know how I am."
"Nice! I'm glad you're having a good day!  I'm doing really well, thanks!  I'm curious, What do you like to do in your free time?","i like to play games lot prefer video games","Oh ok, you like lot prefer video games."
"Cool.  Personally, I do believe there are talented directors and studio execs that actually care to put together a good adaptation.  The Witcher is a good example!  We must vote with our wallets on good movies and tv shows!  Anyway, why don't we talk about some games?  What game would you like to talk about?","have you ever played into the dungeon","I do not know if I have ever played into the dungeon."
"I do not know if I have ever played into the dungeon.","have you ever played fortnite","I do not know if I have ever played fortnite."
"Okay.  I'm curious, What do you like to do for fun?","ants","Oh, you like ants."
"Nice! I'm glad you're having a good day!  I'm doing great!  Thanks for asking!  I'm curious, What do you like to do in your free time?","i like listening to books how about you do you like books","Oh ok, you like listening to books how."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","work in the yard","Oh ok, you like to work in the yard."
"Nice! I'm glad you're having a good day!  I'm doing great, thanks for asking!  I'm curious, What do you like to do for fun?","i like to dance","Oh, you like to dance."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","a lot of stuff","Ok, you like a lot of stuff."
"Cool! I'd love to hear more about it!","yes we were cooking today","Ok, yes you were cooking today."
"It's nice to talk to you.  How are you doing today?","good how are you","I do not know how I am."
"That's ok.  It's nice to talk to you.  How are you doing today?","are you","I do not know if I am."
"Let me take a look.  Cool, Bloodshot is currently playing.  The Invisible Man and Dolittle are also in theaters now!  Which movie do you still want to talk more about?","can we talk about little women","I do not know if you can talk about little women."
"Thanks for telling me!  What would you like to know more about?","could you play me a song","I do not know if I could play you a song."
"That's interesting, thanks for letting me know. I listen to music all the time.  Whenever I am not chatting, I am listening to music.","do you wanna know my favorite song","I do not know if I wanna know your favorite song."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","i like to talk and i like to watch tv","I see, you like to watch tv."
